  [claude-haiku-4-5-20251001] Progress: 30/8190 (0.4%) | ETA: 17.5m | Rate: 7.8 calls/s
  [claude-haiku-4-5-20251001] Progress: 60/8190 (0.7%) | ETA: 18.2m | Rate: 7.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 90/8190 (1.1%) | ETA: 17.7m | Rate: 7.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 120/8190 (1.5%) | ETA: 16.9m | Rate: 7.9 calls/s
  [claude-haiku-4-5-20251001] Progress: 150/8190 (1.8%) | ETA: 16.5m | Rate: 8.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 180/8190 (2.2%) | ETA: 16.4m | Rate: 8.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 210/8190 (2.6%) | ETA: 16.6m | Rate: 8.0 calls/s
  [claude-haiku-4-5-20251001] Progress: 240/8190 (2.9%) | ETA: 16.5m | Rate: 8.0 calls/s
  [claude-haiku-4-5-20251001] Progress: 270/8190 (3.3%) | ETA: 16.4m | Rate: 8.1 calls/s
  [claude-haiku-4-5-20251001] Progress: 300/8190 (3.7%) | ETA: 17.6m | Rate: 7.5 calls/s
  [claude-haiku-4-5-20251001] Progress: 330/8190 (4.0%) | ETA: 17.1m | Rate: 7.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 360/8190 (4.4%) | ETA: 20.7m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 390/8190 (4.8%) | ETA: 20.8m | Rate: 6.2 calls/s
  [claude-haiku-4-5-20251001] Progress: 420/8190 (5.1%) | ETA: 20.4m | Rate: 6.3 calls/s
  [claude-haiku-4-5-20251001] Progress: 450/8190 (5.5%) | ETA: 20.1m | Rate: 6.4 calls/s
  [claude-haiku-4-5-20251001] Progress: 480/8190 (5.9%) | ETA: 19.6m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 510/8190 (6.2%) | ETA: 19.1m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 540/8190 (6.6%) | ETA: 18.8m | Rate: 6.8 calls/s
  [claude-haiku-4-5-20251001] Progress: 570/8190 (7.0%) | ETA: 19.1m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 600/8190 (7.3%) | ETA: 19.2m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 630/8190 (7.7%) | ETA: 18.9m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 660/8190 (8.1%) | ETA: 19.0m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 690/8190 (8.4%) | ETA: 18.8m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 720/8190 (8.8%) | ETA: 18.7m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 750/8190 (9.2%) | ETA: 18.4m | Rate: 6.7 calls/s
  [claude-haiku-4-5-20251001] Progress: 780/8190 (9.5%) | ETA: 18.2m | Rate: 6.8 calls/s
  [claude-haiku-4-5-20251001] Progress: 810/8190 (9.9%) | ETA: 18.0m | Rate: 6.8 calls/s
  [claude-haiku-4-5-20251001] Progress: 840/8190 (10.3%) | ETA: 18.5m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 870/8190 (10.6%) | ETA: 18.5m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 900/8190 (11.0%) | ETA: 18.5m | Rate: 6.6 calls/s
  [claude-haiku-4-5-20251001] Progress: 930/8190 (11.4%) | ETA: 18.6m | Rate: 6.5 calls/s
