  [claude-sonnet-4-6] Progress: 16/8190 (0.2%) | ETA: 54.8m | Rate: 2.5 calls/s
  [claude-sonnet-4-6] Progress: 32/8190 (0.4%) | ETA: 51.5m | Rate: 2.6 calls/s
  [claude-sonnet-4-6] Progress: 48/8190 (0.6%) | ETA: 51.7m | Rate: 2.6 calls/s
  [claude-sonnet-4-6] Progress: 64/8190 (0.8%) | ETA: 56.4m | Rate: 2.4 calls/s
  [claude-sonnet-4-6] Progress: 80/8190 (1.0%) | ETA: 56.4m | Rate: 2.4 calls/s
  [claude-sonnet-4-6] Progress: 96/8190 (1.2%) | ETA: 56.4m | Rate: 2.4 calls/s
  [claude-sonnet-4-6] Progress: 112/8190 (1.4%) | ETA: 54.4m | Rate: 2.5 calls/s
  [claude-sonnet-4-6] Progress: 128/8190 (1.6%) | ETA: 54.3m | Rate: 2.5 calls/s
  [claude-sonnet-4-6] Progress: 144/8190 (1.8%) | ETA: 54.3m | Rate: 2.5 calls/s
  [claude-sonnet-4-6] Progress: 160/8190 (2.0%) | ETA: 54.8m | Rate: 2.4 calls/s
  [claude-sonnet-4-6] Progress: 176/8190 (2.1%) | ETA: 55.7m | Rate: 2.4 calls/s
  [claude-sonnet-4-6] Progress: 192/8190 (2.3%) | ETA: 56.0m | Rate: 2.4 calls/s
  [claude-sonnet-4-6] Progress: 208/8190 (2.5%) | ETA: 56.0m | Rate: 2.4 calls/s
  [claude-sonnet-4-6] Progress: 224/8190 (2.7%) | ETA: 55.5m | Rate: 2.4 calls/s
  [claude-sonnet-4-6] Progress: 240/8190 (2.9%) | ETA: 57.1m | Rate: 2.3 calls/s
  [claude-sonnet-4-6] Progress: 256/8190 (3.1%) | ETA: 56.3m | Rate: 2.3 calls/s
  [claude-sonnet-4-6] Progress: 272/8190 (3.3%) | ETA: 56.8m | Rate: 2.3 calls/s
  [claude-sonnet-4-6] Progress: 288/8190 (3.5%) | ETA: 63.8m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 304/8190 (3.7%) | ETA: 63.2m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 320/8190 (3.9%) | ETA: 62.9m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 336/8190 (4.1%) | ETA: 62.3m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 352/8190 (4.3%) | ETA: 61.5m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 368/8190 (4.5%) | ETA: 61.6m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 384/8190 (4.7%) | ETA: 61.1m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 400/8190 (4.9%) | ETA: 60.8m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 416/8190 (5.1%) | ETA: 60.5m | Rate: 2.1 calls/s
  [claude-sonnet-4-6] Progress: 432/8190 (5.3%) | ETA: 60.0m | Rate: 2.2 calls/s
  [claude-sonnet-4-6] Progress: 448/8190 (5.5%) | ETA: 59.7m | Rate: 2.2 calls/s
  [claude-sonnet-4-6] Progress: 464/8190 (5.7%) | ETA: 59.6m | Rate: 2.2 calls/s
  [claude-sonnet-4-6] Progress: 480/8190 (5.9%) | ETA: 58.9m | Rate: 2.2 calls/s
  [claude-sonnet-4-6] Progress: 496/8190 (6.1%) | ETA: 58.7m | Rate: 2.2 calls/s
  [claude-sonnet-4-6] Progress: 512/8190 (6.3%) | ETA: 58.4m | Rate: 2.2 calls/s
  [claude-sonnet-4-6] Progress: 528/8190 (6.4%) | ETA: 57.9m | Rate: 2.2 calls/s
  [claude-sonnet-4-6] Progress: 544/8190 (6.6%) | ETA: 58.1m | Rate: 2.2 calls/s
