  [gemini-2.5-flash] Progress: 30/8190 (0.4%) | ETA: 9.3m | Rate: 14.6 calls/s
  [gemini-2.5-flash] Progress: 60/8190 (0.7%) | ETA: 9.0m | Rate: 15.1 calls/s
  [gemini-2.5-flash] Progress: 90/8190 (1.1%) | ETA: 9.1m | Rate: 14.8 calls/s
  [gemini-2.5-flash] Progress: 120/8190 (1.5%) | ETA: 9.0m | Rate: 15.0 calls/s
  [gemini-2.5-flash] Progress: 150/8190 (1.8%) | ETA: 9.7m | Rate: 13.8 calls/s
  [gemini-2.5-flash] Progress: 180/8190 (2.2%) | ETA: 9.6m | Rate: 13.9 calls/s
  [gemini-2.5-flash] Progress: 210/8190 (2.6%) | ETA: 9.5m | Rate: 14.0 calls/s
  [gemini-2.5-flash] Progress: 240/8190 (2.9%) | ETA: 10.2m | Rate: 13.0 calls/s
  [gemini-2.5-flash] Progress: 270/8190 (3.3%) | ETA: 9.9m | Rate: 13.3 calls/s
  [gemini-2.5-flash] Progress: 300/8190 (3.7%) | ETA: 9.8m | Rate: 13.4 calls/s
  [gemini-2.5-flash] Progress: 330/8190 (4.0%) | ETA: 9.7m | Rate: 13.5 calls/s
  [gemini-2.5-flash] Progress: 360/8190 (4.4%) | ETA: 9.7m | Rate: 13.5 calls/s
  [gemini-2.5-flash] Progress: 390/8190 (4.8%) | ETA: 9.4m | Rate: 13.8 calls/s
  [gemini-2.5-flash] Progress: 420/8190 (5.1%) | ETA: 9.3m | Rate: 14.0 calls/s
  [gemini-2.5-flash] Progress: 450/8190 (5.5%) | ETA: 9.2m | Rate: 14.0 calls/s
  [gemini-2.5-flash] Progress: 480/8190 (5.9%) | ETA: 9.1m | Rate: 14.1 calls/s
  [gemini-2.5-flash] Progress: 510/8190 (6.2%) | ETA: 9.0m | Rate: 14.2 calls/s
  [gemini-2.5-flash] Progress: 540/8190 (6.6%) | ETA: 9.0m | Rate: 14.2 calls/s
  [gemini-2.5-flash] Progress: 570/8190 (7.0%) | ETA: 9.2m | Rate: 13.8 calls/s
  [gemini-2.5-flash] Progress: 600/8190 (7.3%) | ETA: 9.2m | Rate: 13.8 calls/s
  [gemini-2.5-flash] Progress: 630/8190 (7.7%) | ETA: 9.1m | Rate: 13.8 calls/s
  [gemini-2.5-flash] Progress: 660/8190 (8.1%) | ETA: 9.0m | Rate: 14.0 calls/s
  [gemini-2.5-flash] Progress: 690/8190 (8.4%) | ETA: 8.9m | Rate: 14.1 calls/s
  [gemini-2.5-flash] Progress: 720/8190 (8.8%) | ETA: 8.8m | Rate: 14.1 calls/s
  [gemini-2.5-flash] Progress: 750/8190 (9.2%) | ETA: 8.7m | Rate: 14.2 calls/s
  [gemini-2.5-flash] Progress: 780/8190 (9.5%) | ETA: 11.2m | Rate: 11.0 calls/s
  [gemini-2.5-flash] Progress: 810/8190 (9.9%) | ETA: 9.1m | Rate: 13.5 calls/s
  [gemini-2.5-flash] Progress: 840/8190 (10.3%) | ETA: 8.6m | Rate: 14.3 calls/s
  [gemini-2.5-flash] Progress: 870/8190 (10.6%) | ETA: 8.3m | Rate: 14.7 calls/s
  [gemini-2.5-flash] Progress: 900/8190 (11.0%) | ETA: 8.1m | Rate: 15.1 calls/s
  [gemini-2.5-flash] Progress: 930/8190 (11.4%) | ETA: 7.9m | Rate: 15.4 calls/s
  [gemini-2.5-flash] Progress: 960/8190 (11.7%) | ETA: 8.0m | Rate: 15.0 calls/s
  [gemini-2.5-flash] Progress: 990/8190 (12.1%) | ETA: 8.1m | Rate: 14.9 calls/s
  [gemini-2.5-flash] Progress: 1020/8190 (12.5%) | ETA: 8.0m | Rate: 15.0 calls/s
  [gemini-2.5-flash] Progress: 1050/8190 (12.8%) | ETA: 8.0m | Rate: 14.9 calls/s
  [gemini-2.5-flash] Progress: 1080/8190 (13.2%) | ETA: 7.9m | Rate: 15.0 calls/s
  [gemini-2.5-flash] Progress: 1110/8190 (13.6%) | ETA: 7.9m | Rate: 14.9 calls/s
  [gemini-2.5-flash] Progress: 1140/8190 (13.9%) | ETA: 7.9m | Rate: 14.8 calls/s
  [gemini-2.5-flash] Progress: 1170/8190 (14.3%) | ETA: 7.8m | Rate: 15.0 calls/s
  [gemini-2.5-flash] Progress: 1200/8190 (14.7%) | ETA: 7.7m | Rate: 15.1 calls/s
  [gemini-2.5-flash] Progress: 1230/8190 (15.0%) | ETA: 7.6m | Rate: 15.2 calls/s
  [gemini-2.5-flash] Progress: 1260/8190 (15.4%) | ETA: 7.5m | Rate: 15.4 calls/s
  [gemini-2.5-flash] Progress: 1290/8190 (15.8%) | ETA: 7.4m | Rate: 15.5 calls/s
  [gemini-2.5-flash] Progress: 1320/8190 (16.1%) | ETA: 7.4m | Rate: 15.5 calls/s
  [gemini-2.5-flash] Progress: 1350/8190 (16.5%) | ETA: 7.3m | Rate: 15.6 calls/s
  [gemini-2.5-flash] Progress: 1380/8190 (16.8%) | ETA: 7.3m | Rate: 15.5 calls/s
  [gemini-2.5-flash] Progress: 1410/8190 (17.2%) | ETA: 7.3m | Rate: 15.4 calls/s
  [gemini-2.5-flash] Progress: 1440/8190 (17.6%) | ETA: 7.2m | Rate: 15.5 calls/s
  [gemini-2.5-flash] Progress: 1470/8190 (17.9%) | ETA: 7.2m | Rate: 15.6 calls/s
