  [gemini-2.5-pro] Progress: 10/8190 (0.1%) | ETA: 153.0m | Rate: 0.9 calls/s
  [gemini-2.5-pro] Progress: 20/8190 (0.2%) | ETA: 128.9m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 30/8190 (0.4%) | ETA: 119.0m | Rate: 1.1 calls/s
  [gemini-2.5-pro] Progress: 40/8190 (0.5%) | ETA: 117.5m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 50/8190 (0.6%) | ETA: 115.1m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 60/8190 (0.7%) | ETA: 110.6m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 70/8190 (0.9%) | ETA: 110.0m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 80/8190 (1.0%) | ETA: 107.7m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 90/8190 (1.1%) | ETA: 106.0m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 100/8190 (1.2%) | ETA: 105.2m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 110/8190 (1.3%) | ETA: 106.1m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 120/8190 (1.5%) | ETA: 105.0m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 130/8190 (1.6%) | ETA: 104.6m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 140/8190 (1.7%) | ETA: 106.1m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 150/8190 (1.8%) | ETA: 107.3m | Rate: 1.2 calls/s
  [gemini-2.5-pro] Progress: 160/8190 (2.0%) | ETA: 106.4m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 170/8190 (2.1%) | ETA: 105.7m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 180/8190 (2.2%) | ETA: 106.3m | Rate: 1.3 calls/s
  [gemini-2.5-pro] Progress: 190/8190 (2.3%) | ETA: 105.9m | Rate: 1.3 calls/s
